"global_step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2868917523__1719299073 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_703777133__1719297796 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3355908812__1719296526 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2806102487__1719295259 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2299519823__1719293997 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2209420278__1719292752 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2697415419__1719291767 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4256718033__1719290612 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_467685264__1719289603 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_914504723__1719288544 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2991717580__1719287552 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_3936925692__1719286431 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_110512699__1719285416 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_566926101__1719284337 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2178104424__1719283322 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_1894979607__1719282244 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4023866772__1719281278 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_4286760053__1719280293 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_2587299095__1719279249 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_channel_924084553__1719278114 - test/episodic_length__MAX"
"0","0","0","0","397","397","397","0","0","0","239","239","239","0","0","0","254","254","254","0","0","0","357","357","357","0","0","0","236","236","236","0","0","0","343","343","343","0","0","0","345","345","345","0","0","0","339","339","339","0","0","0","305","305","305","0","0","0","352","352","352","0","0","0","406","406","406","0","0","0","299","299","299","0","0","0","434","434","434","0","0","0","297","297","297","0","0","0","297","297","297","0","0","0","287","287","287","0","0","0","251","251","251","0","0","0","307","307","307","0","0","0","243","243","243","0","0","0","244","244","244"
"1600","1","1","1","426","426","426","1","1","1","273","273","273","1","1","1","434","434","434","1","1","1","335","335","335","1","1","1","262","262","262","1","1","1","291","291","291","1","1","1","401","401","401","1","1","1","420","420","420","1","1","1","312","312","312","1","1","1","269","269","269","1","1","1","358","358","358","1","1","1","348","348","348","1","1","1","423","423","423","1","1","1","396","396","396","1","1","1","391","391","391","1","1","1","242","242","242","1","1","1","416","416","416","1","1","1","243","243","243","1","1","1","400","400","400","1","1","1","426","426","426"
"3200","2","2","2","332","332","332","2","2","2","320","320","320","2","2","2","373","373","373","2","2","2","286","286","286","2","2","2","314","314","314","2","2","2","245","245","245","2","2","2","354","354","354","2","2","2","406","406","406","2","2","2","411","411","411","2","2","2","244","244","244","2","2","2","316","316","316","2","2","2","273","273","273","2","2","2","306","306","306","2","2","2","261","261","261","2","2","2","295","295","295","2","2","2","432","432","432","2","2","2","319","319","319","2","2","2","271","271","271","2","2","2","407","407","407","2","2","2","263","263","263"
"4800","3","3","3","265","265","265","3","3","3","261","261","261","3","3","3","305","305","305","3","3","3","335","335","335","3","3","3","382","382","382","3","3","3","262","262","262","3","3","3","418","418","418","3","3","3","315","315","315","3","3","3","407","407","407","3","3","3","426","426","426","3","3","3","284","284","284","3","3","3","261","261","261","3","3","3","428","428","428","3","3","3","348","348","348","3","3","3","238","238","238","3","3","3","310","310","310","3","3","3","348","348","348","3","3","3","274","274","274","3","3","3","400","400","400","3","3","3","296","296","296"
"6400","4","4","4","368","368","368","4","4","4","394","394","394","4","4","4","435","435","435","4","4","4","292","292","292","4","4","4","424","424","424","4","4","4","379","379","379","4","4","4","323","323","323","4","4","4","420","420","420","4","4","4","430","430","430","4","4","4","293","293","293","4","4","4","262","262","262","4","4","4","405","405","405","4","4","4","424","424","424","4","4","4","351","351","351","4","4","4","316","316","316","4","4","4","312","312","312","4","4","4","307","307","307","4","4","4","265","265","265","4","4","4","353","353","353","4","4","4","390","390","390"
"8000","5","5","5","333","333","333","5","5","5","282","282","282","5","5","5","347","347","347","5","5","5","289","289","289","5","5","5","354","354","354","5","5","5","240","240","240","5","5","5","246","246","246","5","5","5","241","241","241","5","5","5","316","316","316","5","5","5","391","391","391","5","5","5","260","260","260","5","5","5","355","355","355","5","5","5","242","242","242","5","5","5","316","316","316","5","5","5","364","364","364","5","5","5","448","448","448","5","5","5","454","454","454","5","5","5","348","348","348","5","5","5","322","322","322","5","5","5","246","246","246"
"9600","6","6","6","316","316","316","6","6","6","321","321","321","6","6","6","370","370","370","6","6","6","339","339","339","6","6","6","412","412","412","6","6","6","325","325","325","6","6","6","430","430","430","6","6","6","431","431","431","6","6","6","368","368","368","6","6","6","388","388","388","6","6","6","277","277","277","6","6","6","341","341","341","6","6","6","270","270","270","6","6","6","413","413","413","6","6","6","254","254","254","6","6","6","422","422","422","6","6","6","391","391","391","6","6","6","434","434","434","6","6","6","427","427","427","6","6","6","305","305","305"
"11200","7","7","7","347","347","347","7","7","7","308","308","308","7","7","7","322","322","322","7","7","7","318","318","318","7","7","7","284","284","284","7","7","7","300","300","300","7","7","7","345","345","345","7","7","7","281","281","281","7","7","7","397","397","397","7","7","7","399","399","399","7","7","7","409","409","409","7","7","7","326","326","326","7","7","7","326","326","326","7","7","7","347","347","347","7","7","7","420","420","420","7","7","7","286","286","286","7","7","7","262","262","262","7","7","7","368","368","368","7","7","7","345","345","345","7","7","7","268","268","268"
"12800","8","8","8","269","269","269","8","8","8","265","265","265","8","8","8","317","317","317","8","8","8","320","320","320","8","8","8","290","290","290","8","8","8","407","407","407","8","8","8","365","365","365","8","8","8","454","454","454","8","8","8","371","371","371","8","8","8","376","376","376","8","8","8","287","287","287","8","8","8","356","356","356","8","8","8","433","433","433","8","8","8","290","290","290","8","8","8","299","299","299","8","8","8","309","309","309","8","8","8","239","239","239","8","8","8","384","384","384","8","8","8","352","352","352","8","8","8","398","398","398"
"14400","9","9","9","411","411","411","9","9","9","339","339","339","9","9","9","403","403","403","9","9","9","364","364","364","9","9","9","385","385","385","9","9","9","309","309","309","9","9","9","401","401","401","9","9","9","248","248","248","9","9","9","387","387","387","9","9","9","330","330","330","9","9","9","326","326","326","9","9","9","345","345","345","9","9","9","270","270","270","9","9","9","242","242","242","9","9","9","235","235","235","9","9","9","426","426","426","9","9","9","409","409","409","9","9","9","402","402","402","9","9","9","391","391","391","9","9","9","374","374","374"
"16000","10","10","10","331","331","331","10","10","10","347","347","347","10","10","10","345","345","345","10","10","10","301","301","301","10","10","10","297","297","297","10","10","10","394","394","394","10","10","10","351","351","351","10","10","10","421","421","421","10","10","10","301","301","301","10","10","10","281","281","281","10","10","10","337","337","337","10","10","10","424","424","424","10","10","10","411","411","411","10","10","10","313","313","313","10","10","10","399","399","399","10","10","10","251","251","251","10","10","10","309","309","309","10","10","10","313","313","313","10","10","10","354","354","354","10","10","10","353","353","353"
"17600","11","11","11","271","271","271","11","11","11","429","429","429","11","11","11","413","413","413","11","11","11","332","332","332","11","11","11","263","263","263","11","11","11","326","326","326","11","11","11","532","532","532","11","11","11","246","246","246","11","11","11","365","365","365","11","11","11","424","424","424","11","11","11","316","316","316","11","11","11","415","415","415","11","11","11","361","361","361","11","11","11","268","268","268","11","11","11","246","246","246","11","11","11","344","344","344","11","11","11","368","368","368","11","11","11","360","360","360","11","11","11","333","333","333","11","11","11","338","338","338"
"19200","12","12","12","402","402","402","12","12","12","372","372","372","12","12","12","413","413","413","12","12","12","391","391","391","12","12","12","391","391","391","12","12","12","269","269","269","12","12","12","463","463","463","12","12","12","335","335","335","12","12","12","333","333","333","12","12","12","377","377","377","12","12","12","432","432","432","12","12","12","281","281","281","12","12","12","286","286","286","12","12","12","243","243","243","12","12","12","429","429","429","12","12","12","344","344","344","12","12","12","305","305","305","12","12","12","383","383","383","12","12","12","412","412","412","12","12","12","404","404","404"
"20800","13","13","13","341","341","341","13","13","13","434","434","434","13","13","13","300","300","300","13","13","13","337","337","337","13","13","13","408","408","408","13","13","13","409","409","409","13","13","13","421","421","421","13","13","13","312","312","312","13","13","13","425","425","425","13","13","13","317","317","317","13","13","13","405","405","405","13","13","13","329","329","329","13","13","13","322","322","322","13","13","13","422","422","422","13","13","13","408","408","408","13","13","13","419","419","419","13","13","13","389","389","389","13","13","13","257","257","257","13","13","13","464","464","464","13","13","13","433","433","433"
"22400","14","14","14","366","366","366","14","14","14","270","270","270","14","14","14","461","461","461","14","14","14","401","401","401","14","14","14","278","278","278","14","14","14","289","289","289","14","14","14","311","311","311","14","14","14","430","430","430","14","14","14","320","320","320","14","14","14","262","262","262","14","14","14","295","295","295","14","14","14","294","294","294","14","14","14","330","330","330","14","14","14","341","341","341","14","14","14","304","304","304","14","14","14","259","259","259","14","14","14","419","419","419","14","14","14","291","291","291","14","14","14","272","272","272","14","14","14","281","281","281"
"24000","15","15","15","277","277","277","15","15","15","276","276","276","15","15","15","258","258","258","15","15","15","242","242","242","15","15","15","346","346","346","15","15","15","314","314","314","15","15","15","366","366","366","15","15","15","410","410","410","15","15","15","240","240","240","15","15","15","291","291","291","15","15","15","279","279","279","15","15","15","415","415","415","15","15","15","355","355","355","15","15","15","291","291","291","15","15","15","315","315","315","15","15","15","347","347","347","15","15","15","269","269","269","15","15","15","256","256","256","15","15","15","248","248","248","15","15","15","246","246","246"
"25600","16","16","16","292","292","292","16","16","16","310","310","310","16","16","16","453","453","453","16","16","16","240","240","240","16","16","16","319","319","319","16","16","16","250","250","250","16","16","16","315","315","315","16","16","16","479","479","479","16","16","16","245","245","245","16","16","16","364","364","364","16","16","16","328","328","328","16","16","16","310","310","310","16","16","16","325","325","325","16","16","16","433","433","433","16","16","16","346","346","346","16","16","16","284","284","284","16","16","16","331","331","331","16","16","16","380","380","380","16","16","16","243","243","243","16","16","16","242","242","242"
"27200","17","17","17","389","389","389","17","17","17","395","395","395","17","17","17","413","413","413","17","17","17","320","320","320","17","17","17","310","310","310","17","17","17","379","379","379","17","17","17","292","292","292","17","17","17","334","334","334","17","17","17","323","323","323","17","17","17","273","273","273","17","17","17","380","380","380","17","17","17","273","273","273","17","17","17","291","291","291","17","17","17","314","314","314","17","17","17","445","445","445","17","17","17","320","320","320","17","17","17","238","238","238","17","17","17","345","345","345","17","17","17","264","264","264","17","17","17","289","289","289"
"28800","18","18","18","340","340","340","18","18","18","433","433","433","18","18","18","416","416","416","18","18","18","316","316","316","18","18","18","432","432","432","18","18","18","247","247","247","18","18","18","273","273","273","18","18","18","301","301","301","18","18","18","321","321","321","18","18","18","416","416","416","18","18","18","247","247","247","18","18","18","287","287","287","18","18","18","363","363","363","18","18","18","321","321","321","18","18","18","448","448","448","18","18","18","403","403","403","18","18","18","338","338","338","18","18","18","283","283","283","18","18","18","310","310","310","18","18","18","425","425","425"
"30400","19","19","19","374","374","374","19","19","19","261","261","261","19","19","19","424","424","424","19","19","19","400","400","400","19","19","19","329","329","329","19","19","19","404","404","404","19","19","19","388","388","388","19","19","19","238","238","238","19","19","19","395","395","395","19","19","19","355","355","355","19","19","19","297","297","297","19","19","19","404","404","404","19","19","19","245","245","245","19","19","19","407","407","407","19","19","19","421","421","421","19","19","19","408","408","408","19","19","19","303","303","303","19","19","19","236","236","236","19","19","19","491","491","491","19","19","19","394","394","394"
"32000","20","20","20","235","235","235","20","20","20","280","280","280","20","20","20","371","371","371","20","20","20","264","264","264","20","20","20","436","436","436","20","20","20","374","374","374","20","20","20","303","303","303","20","20","20","361","361","361","20","20","20","381","381","381","20","20","20","271","271","271","20","20","20","278","278","278","20","20","20","467","467","467","20","20","20","334","334","334","20","20","20","417","417","417","20","20","20","239","239","239","20","20","20","272","272","272","20","20","20","273","273","273","20","20","20","351","351","351","20","20","20","284","284","284","20","20","20","283","283","283"
"33600","21","21","21","235","235","235","21","21","21","300","300","300","21","21","21","338","338","338","21","21","21","405","405","405","21","21","21","413","413","413","21","21","21","369","369","369","21","21","21","600","600","600","21","21","21","453","453","453","21","21","21","321","321","321","21","21","21","406","406","406","21","21","21","393","393","393","21","21","21","256","256","256","21","21","21","413","413","413","21","21","21","351","351","351","21","21","21","425","425","425","21","21","21","425","425","425","21","21","21","414","414","414","21","21","21","430","430","430","21","21","21","318","318","318","21","21","21","374","374","374"
"35200","22","22","22","296","296","296","22","22","22","277","277","277","22","22","22","461","461","461","22","22","22","346","346","346","22","22","22","390","390","390","22","22","22","277","277","277","22","22","22","430","430","430","22","22","22","422","422","422","22","22","22","264","264","264","22","22","22","341","341","341","22","22","22","390","390","390","22","22","22","409","409","409","22","22","22","445","445","445","22","22","22","412","412","412","22","22","22","386","386","386","22","22","22","405","405","405","22","22","22","313","313","313","22","22","22","377","377","377","22","22","22","279","279","279","22","22","22","242","242","242"
"36800","23","23","23","304","304","304","23","23","23","418","418","418","23","23","23","252","252","252","23","23","23","362","362","362","23","23","23","256","256","256","23","23","23","248","248","248","23","23","23","307","307","307","23","23","23","373","373","373","23","23","23","299","299","299","23","23","23","402","402","402","23","23","23","404","404","404","23","23","23","267","267","267","23","23","23","480","480","480","23","23","23","352","352","352","23","23","23","292","292","292","23","23","23","330","330","330","23","23","23","253","253","253","23","23","23","336","336","336","23","23","23","310","310","310","23","23","23","416","416","416"
