"global_step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2335472040__1719299072 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2706402495__1719297796 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_3077381737__1719296526 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_414640314__1719295259 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003459342__1719293997 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1857831355__1719292752 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1818324788__1719291767 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2668704476__1719290612 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2452849563__1719289603 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_181422146__1719288544 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_1435621577__1719287552 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_214658641__1719286431 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2677443961__1719285416 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_173577098__1719284337 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4003037002__1719283322 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4085810039__1719282244 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_127706259__1719281278 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2321659568__1719280293 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_2251646488__1719279249 - test/episodic_length__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - _step","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - _step__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - _step__MAX","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - test/episodic_length","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - test/episodic_length__MIN","tiny_empathy/GridRooms-v0__train_grid_rooms_emp_reward_4036830179__1719278114 - test/episodic_length__MAX"
"0","0","0","0","432","432","432","0","0","0","415","415","415","0","0","0","380","380","380","0","0","0","286","286","286","0","0","0","341","341","341","0","0","0","318","318","318","0","0","0","468","468","468","0","0","0","386","386","386","0","0","0","361","361","361","0","0","0","375","375","375","0","0","0","293","293","293","0","0","0","309","309","309","0","0","0","416","416","416","0","0","0","364","364","364","0","0","0","413","413","413","0","0","0","322","322","322","0","0","0","370","370","370","0","0","0","384","384","384","0","0","0","295","295","295","0","0","0","353","353","353"
"1600","1","1","1","321","321","321","1","1","1","366","366","366","1","1","1","329","329","329","1","1","1","392","392","392","1","1","1","338","338","338","1","1","1","350","350","350","1","1","1","318","318","318","1","1","1","400","400","400","1","1","1","300","300","300","1","1","1","266","266","266","1","1","1","425","425","425","1","1","1","294","294","294","1","1","1","251","251","251","1","1","1","266","266","266","1","1","1","409","409","409","1","1","1","318","318","318","1","1","1","300","300","300","1","1","1","421","421","421","1","1","1","236","236","236","1","1","1","378","378","378"
"3200","2","2","2","280","280","280","2","2","2","300","300","300","2","2","2","415","415","415","2","2","2","332","332","332","2","2","2","330","330","330","2","2","2","296","296","296","2","2","2","306","306","306","2","2","2","417","417","417","2","2","2","326","326","326","2","2","2","363","363","363","2","2","2","278","278","278","2","2","2","334","334","334","2","2","2","364","364","364","2","2","2","326","326","326","2","2","2","262","262","262","2","2","2","396","396","396","2","2","2","238","238","238","2","2","2","401","401","401","2","2","2","254","254","254","2","2","2","317","317","317"
"4800","3","3","3","279","279","279","3","3","3","374","374","374","3","3","3","363","363","363","3","3","3","393","393","393","3","3","3","378","378","378","3","3","3","371","371","371","3","3","3","462","462","462","3","3","3","285","285","285","3","3","3","362","362","362","3","3","3","433","433","433","3","3","3","355","355","355","3","3","3","415","415","415","3","3","3","409","409","409","3","3","3","370","370","370","3","3","3","276","276","276","3","3","3","329","329","329","3","3","3","337","337","337","3","3","3","434","434","434","3","3","3","411","411","411","3","3","3","278","278","278"
"6400","4","4","4","255","255","255","4","4","4","381","381","381","4","4","4","295","295","295","4","4","4","308","308","308","4","4","4","250","250","250","4","4","4","432","432","432","4","4","4","234","234","234","4","4","4","396","396","396","4","4","4","255","255","255","4","4","4","372","372","372","4","4","4","360","360","360","4","4","4","398","398","398","4","4","4","300","300","300","4","4","4","418","418","418","4","4","4","392","392","392","4","4","4","397","397","397","4","4","4","409","409","409","4","4","4","381","381","381","4","4","4","406","406","406","4","4","4","389","389","389"
"8000","5","5","5","400","400","400","5","5","5","282","282","282","5","5","5","255","255","255","5","5","5","429","429","429","5","5","5","305","305","305","5","5","5","338","338","338","5","5","5","414","414","414","5","5","5","269","269","269","5","5","5","433","433","433","5","5","5","384","384","384","5","5","5","343","343","343","5","5","5","353","353","353","5","5","5","336","336","336","5","5","5","319","319","319","5","5","5","338","338","338","5","5","5","379","379","379","5","5","5","354","354","354","5","5","5","417","417","417","5","5","5","263","263","263","5","5","5","402","402","402"
"9600","6","6","6","299","299","299","6","6","6","408","408","408","6","6","6","409","409","409","6","6","6","350","350","350","6","6","6","332","332","332","6","6","6","235","235","235","6","6","6","352","352","352","6","6","6","273","273","273","6","6","6","317","317","317","6","6","6","318","318","318","6","6","6","365","365","365","6","6","6","283","283","283","6","6","6","362","362","362","6","6","6","312","312","312","6","6","6","352","352","352","6","6","6","273","273","273","6","6","6","368","368","368","6","6","6","408","408","408","6","6","6","341","341","341","6","6","6","318","318","318"
"11200","7","7","7","343","343","343","7","7","7","414","414","414","7","7","7","354","354","354","7","7","7","362","362","362","7","7","7","269","269","269","7","7","7","414","414","414","7","7","7","386","386","386","7","7","7","252","252","252","7","7","7","432","432","432","7","7","7","397","397","397","7","7","7","383","383","383","7","7","7","254","254","254","7","7","7","370","370","370","7","7","7","335","335","335","7","7","7","308","308","308","7","7","7","276","276","276","7","7","7","352","352","352","7","7","7","367","367","367","7","7","7","278","278","278","7","7","7","399","399","399"
"12800","8","8","8","349","349","349","8","8","8","290","290","290","8","8","8","305","305","305","8","8","8","344","344","344","8","8","8","282","282","282","8","8","8","309","309","309","8","8","8","330","330","330","8","8","8","432","432","432","8","8","8","414","414","414","8","8","8","420","420","420","8","8","8","297","297","297","8","8","8","335","335","335","8","8","8","338","338","338","8","8","8","409","409","409","8","8","8","365","365","365","8","8","8","237","237","237","8","8","8","407","407","407","8","8","8","340","340","340","8","8","8","304","304","304","8","8","8","348","348","348"
"14400","9","9","9","401","401","401","9","9","9","312","312","312","9","9","9","374","374","374","9","9","9","446","446","446","9","9","9","413","413","413","9","9","9","340","340","340","9","9","9","278","278","278","9","9","9","270","270","270","9","9","9","376","376","376","9","9","9","414","414","414","9","9","9","291","291","291","9","9","9","396","396","396","9","9","9","337","337","337","9","9","9","300","300","300","9","9","9","312","312","312","9","9","9","415","415","415","9","9","9","371","371","371","9","9","9","364","364","364","9","9","9","339","339","339","9","9","9","314","314","314"
"16000","10","10","10","341","341","341","10","10","10","257","257","257","10","10","10","374","374","374","10","10","10","408","408","408","10","10","10","396","396","396","10","10","10","409","409","409","10","10","10","295","295","295","10","10","10","274","274","274","10","10","10","248","248","248","10","10","10","393","393","393","10","10","10","259","259","259","10","10","10","268","268","268","10","10","10","314","314","314","10","10","10","333","333","333","10","10","10","368","368","368","10","10","10","404","404","404","10","10","10","276","276","276","10","10","10","251","251","251","10","10","10","339","339","339","10","10","10","286","286","286"
"17600","11","11","11","460","460","460","11","11","11","338","338","338","11","11","11","424","424","424","11","11","11","255","255","255","11","11","11","441","441","441","11","11","11","333","333","333","11","11","11","385","385","385","11","11","11","417","417","417","11","11","11","374","374","374","11","11","11","266","266","266","11","11","11","461","461","461","11","11","11","343","343","343","11","11","11","306","306","306","11","11","11","389","389","389","11","11","11","298","298","298","11","11","11","364","364","364","11","11","11","382","382","382","11","11","11","429","429","429","11","11","11","262","262","262","11","11","11","421","421","421"
"19200","12","12","12","374","374","374","12","12","12","392","392","392","12","12","12","278","278","278","12","12","12","334","334","334","12","12","12","357","357","357","12","12","12","429","429","429","12","12","12","352","352","352","12","12","12","352","352","352","12","12","12","260","260","260","12","12","12","315","315","315","12","12","12","305","305","305","12","12","12","389","389","389","12","12","12","374","374","374","12","12","12","351","351","351","12","12","12","297","297","297","12","12","12","366","366","366","12","12","12","361","361","361","12","12","12","407","407","407","12","12","12","263","263","263","12","12","12","384","384","384"
"20800","13","13","13","388","388","388","13","13","13","312","312","312","13","13","13","428","428","428","13","13","13","413","413","413","13","13","13","360","360","360","13","13","13","355","355","355","13","13","13","297","297","297","13","13","13","397","397","397","13","13","13","298","298","298","13","13","13","409","409","409","13","13","13","299","299","299","13","13","13","430","430","430","13","13","13","423","423","423","13","13","13","386","386","386","13","13","13","292","292","292","13","13","13","255","255","255","13","13","13","429","429","429","13","13","13","430","430","430","13","13","13","272","272","272","13","13","13","372","372","372"
"22400","14","14","14","296","296","296","14","14","14","238","238","238","14","14","14","305","305","305","14","14","14","311","311","311","14","14","14","363","363","363","14","14","14","430","430","430","14","14","14","410","410","410","14","14","14","307","307","307","14","14","14","238","238","238","14","14","14","269","269","269","14","14","14","266","266","266","14","14","14","366","366","366","14","14","14","336","336","336","14","14","14","258","258","258","14","14","14","263","263","263","14","14","14","397","397","397","14","14","14","309","309","309","14","14","14","243","243","243","14","14","14","309","309","309","14","14","14","361","361","361"
"24000","15","15","15","395","395","395","15","15","15","262","262","262","15","15","15","442","442","442","15","15","15","367","367","367","15","15","15","314","314","314","15","15","15","320","320","320","15","15","15","375","375","375","15","15","15","395","395","395","15","15","15","250","250","250","15","15","15","349","349","349","15","15","15","327","327","327","15","15","15","423","423","423","15","15","15","318","318","318","15","15","15","367","367","367","15","15","15","239","239","239","15","15","15","392","392","392","15","15","15","274","274","274","15","15","15","408","408","408","15","15","15","425","425","425","15","15","15","389","389","389"
"25600","16","16","16","355","355","355","16","16","16","338","338","338","16","16","16","353","353","353","16","16","16","407","407","407","16","16","16","329","329","329","16","16","16","304","304","304","16","16","16","427","427","427","16","16","16","306","306","306","16","16","16","292","292","292","16","16","16","291","291","291","16","16","16","417","417","417","16","16","16","424","424","424","16","16","16","328","328","328","16","16","16","292","292","292","16","16","16","328","328","328","16","16","16","249","249","249","16","16","16","430","430","430","16","16","16","266","266","266","16","16","16","341","341","341","16","16","16","432","432","432"
"27200","17","17","17","286","286","286","17","17","17","259","259","259","17","17","17","269","269","269","17","17","17","337","337","337","17","17","17","399","399","399","17","17","17","367","367","367","17","17","17","304","304","304","17","17","17","279","279","279","17","17","17","305","305","305","17","17","17","450","450","450","17","17","17","267","267","267","17","17","17","279","279","279","17","17","17","363","363","363","17","17","17","316","316","316","17","17","17","409","409","409","17","17","17","296","296","296","17","17","17","420","420","420","17","17","17","400","400","400","17","17","17","319","319","319","17","17","17","373","373","373"
"28800","18","18","18","280","280","280","18","18","18","402","402","402","18","18","18","433","433","433","18","18","18","235","235","235","18","18","18","432","432","432","18","18","18","405","405","405","18","18","18","352","352","352","18","18","18","394","394","394","18","18","18","466","466","466","18","18","18","322","322","322","18","18","18","247","247","247","18","18","18","410","410","410","18","18","18","305","305","305","18","18","18","267","267","267","18","18","18","347","347","347","18","18","18","366","366","366","18","18","18","391","391","391","18","18","18","351","351","351","18","18","18","298","298","298","18","18","18","289","289","289"
"30400","19","19","19","261","261","261","19","19","19","365","365","365","19","19","19","403","403","403","19","19","19","399","399","399","19","19","19","350","350","350","19","19","19","248","248","248","19","19","19","234","234","234","19","19","19","422","422","422","19","19","19","459","459","459","19","19","19","455","455","455","19","19","19","334","334","334","19","19","19","391","391","391","19","19","19","370","370","370","19","19","19","419","419","419","19","19","19","262","262","262","19","19","19","372","372","372","19","19","19","378","378","378","19","19","19","456","456","456","19","19","19","283","283","283","19","19","19","430","430","430"
"32000","20","20","20","305","305","305","20","20","20","426","426","426","20","20","20","272","272","272","20","20","20","429","429","429","20","20","20","246","246","246","20","20","20","248","248","248","20","20","20","281","281","281","20","20","20","381","381","381","20","20","20","411","411","411","20","20","20","290","290","290","20","20","20","402","402","402","20","20","20","466","466","466","20","20","20","274","274","274","20","20","20","353","353","353","20","20","20","343","343","343","20","20","20","262","262","262","20","20","20","277","277","277","20","20","20","299","299","299","20","20","20","364","364","364","20","20","20","473","473","473"
"33600","21","21","21","480","480","480","21","21","21","358","358","358","21","21","21","438","438","438","21","21","21","364","364","364","21","21","21","344","344","344","21","21","21","391","391","391","21","21","21","409","409","409","21","21","21","442","442","442","21","21","21","380","380","380","21","21","21","273","273","273","21","21","21","321","321","321","21","21","21","370","370","370","21","21","21","415","415","415","21","21","21","363","363","363","21","21","21","340","340","340","21","21","21","394","394","394","21","21","21","337","337","337","21","21","21","381","381","381","21","21","21","328","328","328","21","21","21","363","363","363"
"35200","22","22","22","313","313","313","22","22","22","399","399","399","22","22","22","343","343","343","22","22","22","237","237","237","22","22","22","238","238","238","22","22","22","394","394","394","22","22","22","317","317","317","22","22","22","376","376","376","22","22","22","343","343","343","22","22","22","310","310","310","22","22","22","364","364","364","22","22","22","371","371","371","22","22","22","382","382","382","22","22","22","333","333","333","22","22","22","362","362","362","22","22","22","392","392","392","22","22","22","386","386","386","22","22","22","314","314","314","22","22","22","437","437","437","22","22","22","247","247","247"
"36800","23","23","23","421","421","421","23","23","23","339","339","339","23","23","23","485","485","485","23","23","23","532","532","532","23","23","23","294","294","294","23","23","23","309","309","309","23","23","23","339","339","339","23","23","23","339","339","339","23","23","23","366","366","366","23","23","23","252","252","252","23","23","23","316","316","316","23","23","23","241","241","241","23","23","23","339","339","339","23","23","23","377","377","377","23","23","23","360","360","360","23","23","23","465","465","465","23","23","23","313","313","313","23","23","23","413","413","413","23","23","23","272","272","272","23","23","23","275","275","275"
