group,mean,ci
full_inference-learn-c,342.3076923076923,36.82130137717136
affect_inference-learn-c,356.0,29.617594770676433
full_inference-no_learn-c,295.42857142857144,26.267820617630235
affect_inference-no_learn-c,368.0,31.827666726148326
affect_inference-learn-a,2147.133333333333,558.2352870983503
affect_inference-no_learn-a,1628.7272727272727,795.3618040482223
full_inference-learn,2812.8571428571427,368.76000000000005
affect_inference-learn,2625.9285714285716,499.47121765076565
full_inference-no_learn,1182.5,791.1922909241329
affect_inference-no_learn,1125.8,802.6180083546037
